tier,year,predictor,coef,se,pval,sig,pval_bonf,pval_bh,std_coef,n,r2,n_clusters,n_changers,within_sd,se_type,valid,invalid_reason,interpretation,dv_label
T1_no_gdp,2014,const,0.448050,0.031071,0.000000,***,,,,170,0.585913,,,,,True,,,
T1_no_gdp,2014,gri_state_religion_norm,0.004551,0.032486,0.888584,,,,,170,0.585913,,,,,True,,moving gri_state_religion_norm from 0 to 1 increases the outcome by 0.0046 (index units),
T1_no_gdp,2014,gri_gov_favour_norm,-0.017153,0.030154,0.569460,,,,,170,0.585913,,,,,True,,moving gri_gov_favour_norm from 0 to 1 decreases the outcome by 0.0172 (index units),
T1_no_gdp,2014,gri_religious_law_norm,0.086786,0.032136,0.006921,***,,,,170,0.585913,,,,,True,,moving gri_religious_law_norm from 0 to 1 increases the outcome by 0.0868 (index units),
T1_no_gdp,2014,gri_religious_courts_norm,0.022352,0.018959,0.238403,,,,,170,0.585913,,,,,True,,moving gri_religious_courts_norm from 0 to 1 increases the outcome by 0.0224 (index units),
T1_no_gdp,2014,gri_blasphemy_norm,-0.041654,0.018326,0.023033,**,,,,170,0.585913,,,,,True,,moving gri_blasphemy_norm from 0 to 1 decreases the outcome by 0.0417 (index units),
T1_no_gdp,2014,gri_apostasy_norm,-0.126566,0.026526,0.000002,***,,,,170,0.585913,,,,,True,,moving gri_apostasy_norm from 0 to 1 decreases the outcome by 0.1266 (index units),
T1_no_gdp,2014,v2x_rule_norm,0.110159,0.050568,0.029375,**,,,,170,0.585913,,,,,True,,,
T1_no_gdp,2014,v2x_civlib_norm,0.049967,0.051074,0.327905,,,,,170,0.585913,,,,,True,,,
T1_no_gdp,2014,v2x_egal_norm,0.168209,0.058018,0.003741,***,,,,170,0.585913,,,,,True,,,
T1_with_gdp,2014,const,0.428397,0.036512,0.000000,***,,,,166,0.640867,,,,,True,,,
T1_with_gdp,2014,gri_state_religion_norm,-0.000671,0.032824,0.983680,,,,,166,0.640867,,,,,True,,moving gri_state_religion_norm from 0 to 1 decreases the outcome by 0.0007 (index units),
T1_with_gdp,2014,gri_gov_favour_norm,-0.032257,0.029340,0.271577,,,,,166,0.640867,,,,,True,,moving gri_gov_favour_norm from 0 to 1 decreases the outcome by 0.0323 (index units),
T1_with_gdp,2014,gri_religious_law_norm,0.090899,0.031338,0.003724,***,,,,166,0.640867,,,,,True,,moving gri_religious_law_norm from 0 to 1 increases the outcome by 0.0909 (index units),
T1_with_gdp,2014,gri_religious_courts_norm,0.012124,0.016704,0.467947,,,,,166,0.640867,,,,,True,,moving gri_religious_courts_norm from 0 to 1 increases the outcome by 0.0121 (index units),
T1_with_gdp,2014,gri_blasphemy_norm,-0.047736,0.017569,0.006586,***,,,,166,0.640867,,,,,True,,moving gri_blasphemy_norm from 0 to 1 decreases the outcome by 0.0477 (index units),
T1_with_gdp,2014,gri_apostasy_norm,-0.141878,0.028184,0.000000,***,,,,166,0.640867,,,,,True,,moving gri_apostasy_norm from 0 to 1 decreases the outcome by 0.1419 (index units),
T1_with_gdp,2014,v2x_rule_norm,0.032770,0.054450,0.547278,,,,,166,0.640867,,,,,True,,,
T1_with_gdp,2014,v2x_civlib_norm,0.082409,0.058869,0.161549,,,,,166,0.640867,,,,,True,,,
T1_with_gdp,2014,v2x_egal_norm,0.105892,0.057198,0.064121,*,,,,166,0.640867,,,,,True,,,
T1_with_gdp,2014,log_gdppc_norm,0.186189,0.045289,0.000039,***,,,,166,0.640867,,,,,True,,1-unit change in normalised log-GDP associates with +0.1862 in the outcome (normalised scale),
T1_no_gdp,2020,const,0.572968,0.037939,0.000000,***,,,,170,0.539302,,,,,True,,,
T1_no_gdp,2020,gri_state_religion_norm,-0.030441,0.038935,0.434307,,,,,170,0.539302,,,,,True,,moving gri_state_religion_norm from 0 to 1 decreases the outcome by 0.0304 (index units),
T1_no_gdp,2020,gri_gov_favour_norm,-0.049387,0.032211,0.125224,,,,,170,0.539302,,,,,True,,moving gri_gov_favour_norm from 0 to 1 decreases the outcome by 0.0494 (index units),
T1_no_gdp,2020,gri_religious_law_norm,0.072651,0.047096,0.122924,,,,,170,0.539302,,,,,True,,moving gri_religious_law_norm from 0 to 1 increases the outcome by 0.0727 (index units),
T1_no_gdp,2020,gri_religious_courts_norm,0.024240,0.018678,0.194345,,,,,170,0.539302,,,,,True,,moving gri_religious_courts_norm from 0 to 1 increases the outcome by 0.0242 (index units),
T1_no_gdp,2020,gri_blasphemy_norm,-0.038322,0.015659,0.014391,**,,,,170,0.539302,,,,,True,,moving gri_blasphemy_norm from 0 to 1 decreases the outcome by 0.0383 (index units),
T1_no_gdp,2020,gri_apostasy_norm,-0.120398,0.034398,0.000465,***,,,,170,0.539302,,,,,True,,moving gri_apostasy_norm from 0 to 1 decreases the outcome by 0.1204 (index units),
T1_no_gdp,2020,v2x_rule_norm,0.179906,0.056913,0.001572,***,,,,170,0.539302,,,,,True,,,
T1_no_gdp,2020,v2x_civlib_norm,-0.074693,0.058081,0.198439,,,,,170,0.539302,,,,,True,,,
T1_no_gdp,2020,v2x_egal_norm,0.159809,0.055455,0.003954,***,,,,170,0.539302,,,,,True,,,
T1_with_gdp,2020,const,0.529293,0.042950,0.000000,***,,,,164,0.578078,,,,,True,,,
T1_with_gdp,2020,gri_state_religion_norm,-0.035768,0.039686,0.367453,,,,,164,0.578078,,,,,True,,moving gri_state_religion_norm from 0 to 1 decreases the outcome by 0.0358 (index units),
T1_with_gdp,2020,gri_gov_favour_norm,-0.041005,0.029776,0.168468,,,,,164,0.578078,,,,,True,,moving gri_gov_favour_norm from 0 to 1 decreases the outcome by 0.0410 (index units),
T1_with_gdp,2020,gri_religious_law_norm,0.067476,0.045556,0.138559,,,,,164,0.578078,,,,,True,,moving gri_religious_law_norm from 0 to 1 increases the outcome by 0.0675 (index units),
T1_with_gdp,2020,gri_religious_courts_norm,0.016868,0.019819,0.394731,,,,,164,0.578078,,,,,True,,moving gri_religious_courts_norm from 0 to 1 increases the outcome by 0.0169 (index units),
T1_with_gdp,2020,gri_blasphemy_norm,-0.036623,0.014928,0.014155,**,,,,164,0.578078,,,,,True,,moving gri_blasphemy_norm from 0 to 1 decreases the outcome by 0.0366 (index units),
T1_with_gdp,2020,gri_apostasy_norm,-0.119279,0.039511,0.002537,***,,,,164,0.578078,,,,,True,,moving gri_apostasy_norm from 0 to 1 decreases the outcome by 0.1193 (index units),
T1_with_gdp,2020,v2x_rule_norm,0.085287,0.064668,0.187219,,,,,164,0.578078,,,,,True,,,
T1_with_gdp,2020,v2x_civlib_norm,-0.011048,0.068592,0.872037,,,,,164,0.578078,,,,,True,,,
T1_with_gdp,2020,v2x_egal_norm,0.109677,0.056032,0.050302,*,,,,164,0.578078,,,,,True,,,
T1_with_gdp,2020,log_gdppc_norm,0.168811,0.049004,0.000571,***,,,,164,0.578078,,,,,True,,1-unit change in normalised log-GDP associates with +0.1688 in the outcome (normalised scale),
T2_gri_only,all,const,0.648410,0.005772,0.000000,***,,,,1860,0.013791,186.000000,,,cluster_entity,True,,,
T2_gri_only,all,gri_state_religion_norm,0.011013,0.017878,0.537987,,,,0.021457,1860,0.013791,186.000000,26.000000,0.082816,cluster_entity,True,,moving gri_state_religion_norm from 0 to 1 increases the outcome by 0.0110 (index units),
T2_gri_only,all,gri_gov_favour_norm,0.014156,0.008887,0.111361,,,,0.027789,1860,0.013791,186.000000,63.000000,0.104521,cluster_entity,True,,moving gri_gov_favour_norm from 0 to 1 increases the outcome by 0.0142 (index units),
